txHash,timestamp,l1CostUSD,bundlerUSD,protocolGrossUSD,oracleUSD,netFeeUSD,operatorUSD
0xc30cfcbbd448112e8a7d781f4e790f966d3604d99a212a1eff7cff74e665c287,2026-01-16T16:03:24.000Z,0.544008,0.054401,-0.544004,0.005000,-0.549004,0.000000
0xc30cfcbbd448112e8a7d781f4e790f966d3604d99a212a1eff7cff74e665c287,2026-01-16T16:03:24.000Z,0.544008,0.054401,-0.544004,0.005000,-0.549004,0.000000
0x7d9334789ac2e527cfd325452f34f0cd61c227b593562fd5857b3696c428e301,2026-01-16T16:09:36.000Z,0.528894,0.052889,-0.528890,0.005000,-0.533890,0.000000
0x7d9334789ac2e527cfd325452f34f0cd61c227b593562fd5857b3696c428e301,2026-01-16T16:09:36.000Z,0.528894,0.052889,-0.528890,0.005000,-0.533890,0.000000
0x7aa04016dda602f548cc9c7e3f992c9744e7fd067768bb408c45b81e4bd59f3c,2026-01-16T16:16:00.000Z,0.581567,0.058157,-0.581562,0.005000,-0.586562,0.000000
0x7aa04016dda602f548cc9c7e3f992c9744e7fd067768bb408c45b81e4bd59f3c,2026-01-16T16:16:00.000Z,0.581567,0.058157,-0.581562,0.005000,-0.586562,0.000000
0xbabfcb0c12c02d0e5d897e7e3f8609d1017c589e59fbe99bef278b7f2b2ee6d1,2026-01-16T16:19:36.000Z,0.488958,0.048896,-0.488955,0.005000,-0.493955,0.000000
0xbabfcb0c12c02d0e5d897e7e3f8609d1017c589e59fbe99bef278b7f2b2ee6d1,2026-01-16T16:19:36.000Z,0.488958,0.048896,-0.488955,0.005000,-0.493955,0.000000
0xa7752ec38f26b59345a617db1f1e4d99dd1462940baefecb67f5cbf623f6f55a,2026-01-16T16:20:00.000Z,0.600281,0.060028,0.194818,0.005000,0.189818,0.000000
0xa7752ec38f26b59345a617db1f1e4d99dd1462940baefecb67f5cbf623f6f55a,2026-01-16T16:20:00.000Z,0.600281,0.060028,0.194818,0.005000,0.189818,0.000000
0x98ba5b6c41c35a810d53823de5d2e1eb9c0b8765f7be88356e713baeed5c01f9,2026-01-16T16:39:48.000Z,0.495572,0.049557,-0.495568,0.005000,-0.500568,0.000000
0x98ba5b6c41c35a810d53823de5d2e1eb9c0b8765f7be88356e713baeed5c01f9,2026-01-16T16:39:48.000Z,0.495572,0.049557,-0.495568,0.005000,-0.500568,0.000000
0x7e43cfdec82c3e18551e0f8954a9f9c6a0280d8b1d2e3b9bb255ba916a47c374,2026-01-16T16:40:12.000Z,0.594226,0.059423,0.195007,0.005000,0.190007,0.000000
0x7e43cfdec82c3e18551e0f8954a9f9c6a0280d8b1d2e3b9bb255ba916a47c374,2026-01-16T16:40:12.000Z,0.594226,0.059423,0.195007,0.005000,0.190007,0.000000
0xc88cd3487588f159522efb2b68333724b19db34cb71ccc6bb443d3c6303713de,2026-01-16T17:06:12.000Z,0.571979,0.057198,-0.571975,0.005000,-0.576975,0.000000
0xc88cd3487588f159522efb2b68333724b19db34cb71ccc6bb443d3c6303713de,2026-01-16T17:06:12.000Z,0.571979,0.057198,-0.571975,0.005000,-0.576975,0.000000
0x3c046c928705993d6ce5860454f2c51502fec56ba4226ca7f94c47dbca0f3b52,2026-01-16T17:06:48.000Z,0.609486,0.060949,0.201137,0.005000,0.196137,0.000000
0x3c046c928705993d6ce5860454f2c51502fec56ba4226ca7f94c47dbca0f3b52,2026-01-16T17:06:48.000Z,0.609486,0.060949,0.201137,0.005000,0.196137,0.000000
0xbbf3ce24c5080c175ea1937636dbaaa61ffec75a0d4250b03b24e594955b9326,2026-01-17T02:49:36.000Z,0.512227,0.051223,-0.512223,0.005000,-0.517223,0.000000
0xbbf3ce24c5080c175ea1937636dbaaa61ffec75a0d4250b03b24e594955b9326,2026-01-17T02:49:36.000Z,0.512227,0.051223,-0.512223,0.005000,-0.517223,0.000000
0x3d7f85e1fa428a003c906a56cdebf7d98af40be707aafbccdbe0dabe75d4fff1,2026-01-17T08:20:48.000Z,0.566017,0.056602,-0.566013,0.005000,-0.571013,0.000000
0x3d7f85e1fa428a003c906a56cdebf7d98af40be707aafbccdbe0dabe75d4fff1,2026-01-17T08:20:48.000Z,0.566017,0.056602,-0.566013,0.005000,-0.571013,0.000000
0x8b2fa44536aaf7c83d09ab9129b9ec5d57924674e1016f3a714110f7f36e3bba,2026-01-17T08:21:12.000Z,1.015187,0.101519,0.218404,0.005000,0.213404,0.000000
0x8b2fa44536aaf7c83d09ab9129b9ec5d57924674e1016f3a714110f7f36e3bba,2026-01-17T08:21:12.000Z,1.015187,0.101519,0.218404,0.005000,0.213404,0.000000
0x1d4ec2a01d53a4a4427474605cdac45d92706efe0facfb3ba932b97ff91194fc,2026-01-19T03:08:12.000Z,0.645951,0.064595,-0.645945,0.005000,-0.650945,0.000000
0x1d4ec2a01d53a4a4427474605cdac45d92706efe0facfb3ba932b97ff91194fc,2026-01-19T03:08:12.000Z,0.645951,0.064595,-0.645945,0.005000,-0.650945,0.000000
0xba5115b3d53c823d148e91cb2bfb3a1d743c30ab82b5cec992e654954870827f,2026-01-19T03:08:36.000Z,0.607923,0.060792,0.498142,0.005000,0.493142,0.000000
0xba5115b3d53c823d148e91cb2bfb3a1d743c30ab82b5cec992e654954870827f,2026-01-19T03:08:36.000Z,0.607923,0.060792,0.498142,0.005000,0.493142,0.000000