txHash,blockNumber,timestamp,testType,gasUsed,gasPrice,ethCost,usdCost,mode,aPNTsConsumed,aPNTsUSD,xPNTsCharged,xPNTsUSD
0xc30cfcbbd448112e8a7d781f4e790f966d3604d99a212a1eff7cff74e665c287,10057311,2026-01-16T16:03:24.000Z,Jason AA2 Gasless,149034,1136522270,169380459987180,0.544008,v4,0,0.000000,,
0xc30cfcbbd448112e8a7d781f4e790f966d3604d99a212a1eff7cff74e665c287,10057311,2026-01-16T16:03:24.000Z,Jason AA2 Gasless,149034,1136522270,169380459987180,0.544008,v4,0,0.000000,,
0x7d9334789ac2e527cfd325452f34f0cd61c227b593562fd5857b3696c428e301,10057342,2026-01-16T16:09:36.000Z,Jason AA2 Gasless,149046,1104857540,164674596906840,0.528894,v4,0,0.000000,,
0x7d9334789ac2e527cfd325452f34f0cd61c227b593562fd5857b3696c428e301,10057342,2026-01-16T16:09:36.000Z,Jason AA2 Gasless,149046,1104857540,164674596906840,0.528894,v4,0,0.000000,,
0x7aa04016dda602f548cc9c7e3f992c9744e7fd067768bb408c45b81e4bd59f3c,10057374,2026-01-16T16:16:00.000Z,Jason AA2 Gasless,149046,1214891090,181074657400140,0.581567,v4,0,0.000000,,
0x7aa04016dda602f548cc9c7e3f992c9744e7fd067768bb408c45b81e4bd59f3c,10057374,2026-01-16T16:16:00.000Z,Jason AA2 Gasless,149046,1214891090,181074657400140,0.581567,v4,0,0.000000,,
0xbabfcb0c12c02d0e5d897e7e3f8609d1017c589e59fbe99bef278b7f2b2ee6d1,10057392,2026-01-16T16:19:36.000Z,Jason AA2 Gasless,149046,1021432969,152240498297574,0.488958,v4,0,0.000000,,
0xbabfcb0c12c02d0e5d897e7e3f8609d1017c589e59fbe99bef278b7f2b2ee6d1,10057392,2026-01-16T16:19:36.000Z,Jason AA2 Gasless,149046,1021432969,152240498297574,0.488958,v4,0,0.000000,,
0xa7752ec38f26b59345a617db1f1e4d99dd1462940baefecb67f5cbf623f6f55a,10057394,2026-01-16T16:20:00.000Z,Anni Gasless,171495,1089836121,186901445570895,0.600281,super,0,0.000000,0,0.000000
0xa7752ec38f26b59345a617db1f1e4d99dd1462940baefecb67f5cbf623f6f55a,10057394,2026-01-16T16:20:00.000Z,Anni Gasless,171495,1089836121,186901445570895,0.600281,super,0,0.000000,0,0.000000
0x98ba5b6c41c35a810d53823de5d2e1eb9c0b8765f7be88356e713baeed5c01f9,10057493,2026-01-16T16:39:48.000Z,Jason AA2 Gasless,149046,1035248550,154299655383300,0.495572,v4,0,0.000000,,
0x98ba5b6c41c35a810d53823de5d2e1eb9c0b8765f7be88356e713baeed5c01f9,10057493,2026-01-16T16:39:48.000Z,Jason AA2 Gasless,149046,1035248550,154299655383300,0.495572,v4,0,0.000000,,
0x7e43cfdec82c3e18551e0f8954a9f9c6a0280d8b1d2e3b9bb255ba916a47c374,10057495,2026-01-16T16:40:12.000Z,Anni Gasless,171495,1078842821,185016149587395,0.594226,super,0,0.000000,0,0.000000
0x7e43cfdec82c3e18551e0f8954a9f9c6a0280d8b1d2e3b9bb255ba916a47c374,10057495,2026-01-16T16:40:12.000Z,Anni Gasless,171495,1078842821,185016149587395,0.594226,super,0,0.000000,0,0.000000
0xc88cd3487588f159522efb2b68333724b19db34cb71ccc6bb443d3c6303713de,10057625,2026-01-16T17:06:12.000Z,Jason AA2 Gasless,149046,1194862525,178089479901150,0.571979,v4,0,0.000000,,
0xc88cd3487588f159522efb2b68333724b19db34cb71ccc6bb443d3c6303713de,10057625,2026-01-16T17:06:12.000Z,Jason AA2 Gasless,149046,1194862525,178089479901150,0.571979,v4,0,0.000000,,
0x3c046c928705993d6ce5860454f2c51502fec56ba4226ca7f94c47dbca0f3b52,10057628,2026-01-16T17:06:48.000Z,Anni Gasless,171495,1106548621,189767555758395,0.609486,super,0,0.000000,0,0.000000
0x3c046c928705993d6ce5860454f2c51502fec56ba4226ca7f94c47dbca0f3b52,10057628,2026-01-16T17:06:48.000Z,Anni Gasless,171495,1106548621,189767555758395,0.609486,super,0,0.000000,0,0.000000
0xbbf3ce24c5080c175ea1937636dbaaa61ffec75a0d4250b03b24e594955b9326,10060540,2026-01-17T02:49:36.000Z,Jason AA2 Gasless,149070,1069868967,159485366910690,0.512227,v4,0,0.000000,,
0xbbf3ce24c5080c175ea1937636dbaaa61ffec75a0d4250b03b24e594955b9326,10060540,2026-01-17T02:49:36.000Z,Jason AA2 Gasless,149070,1069868967,159485366910690,0.512227,v4,0,0.000000,,
0x3d7f85e1fa428a003c906a56cdebf7d98af40be707aafbccdbe0dabe75d4fff1,10062193,2026-01-17T08:20:48.000Z,Jason AA2 Gasless,149058,1182312604,176233152127032,0.566017,v4,0,0.000000,,
0x3d7f85e1fa428a003c906a56cdebf7d98af40be707aafbccdbe0dabe75d4fff1,10062193,2026-01-17T08:20:48.000Z,Jason AA2 Gasless,149058,1182312604,176233152127032,0.566017,v4,0,0.000000,,
0x8b2fa44536aaf7c83d09ab9129b9ec5d57924674e1016f3a714110f7f36e3bba,10062195,2026-01-17T08:21:12.000Z,Anni Gasless,274540,1151327200,316085369488000,1.015187,super,0,0.000000,0,0.000000
0x8b2fa44536aaf7c83d09ab9129b9ec5d57924674e1016f3a714110f7f36e3bba,10062195,2026-01-17T08:21:12.000Z,Anni Gasless,274540,1151327200,316085369488000,1.015187,super,0,0.000000,0,0.000000
0x1d4ec2a01d53a4a4427474605cdac45d92706efe0facfb3ba932b97ff91194fc,10075018,2026-01-19T03:08:12.000Z,Jason AA2 Gasless,175166,1148174949,201121213116534,0.645951,v4,0,0.000000,,
0x1d4ec2a01d53a4a4427474605cdac45d92706efe0facfb3ba932b97ff91194fc,10075018,2026-01-19T03:08:12.000Z,Jason AA2 Gasless,175166,1148174949,201121213116534,0.645951,v4,0,0.000000,,
0xba5115b3d53c823d148e91cb2bfb3a1d743c30ab82b5cec992e654954870827f,10075020,2026-01-19T03:08:36.000Z,Anni Gasless,172712,1095933218,189280817947216,0.607923,super,0,0.000000,0,0.000000
0xba5115b3d53c823d148e91cb2bfb3a1d743c30ab82b5cec992e654954870827f,10075020,2026-01-19T03:08:36.000Z,Anni Gasless,172712,1095933218,189280817947216,0.607923,super,0,0.000000,0,0.000000