trial,relayerA_result,relayerA_latency_ms,relayerB_result,relayerB_txHash,relayerB_latency_ms,failover_latency_ms,block_number,success
"1","SKIP","0","EST_FAIL","","0","0","","false"
"2","SKIP","0","EST_FAIL","","0","0","","false"
"3","SKIP","0","EST_FAIL","","0","0","","false"
"4","SKIP","0","EST_FAIL","","0","0","","false"
"5","SKIP","0","EST_FAIL","","0","0","","false"
"6","SKIP","0","EST_FAIL","","0","0","","false"
"7","SKIP","0","EST_FAIL","","0","0","","false"
"8","SKIP","0","EST_FAIL","","0","0","","false"
"9","SKIP","0","EST_FAIL","","0","0","","false"
"10","SKIP","0","EST_FAIL","","0","0","","false"
"11","SKIP","0","EST_FAIL","","0","0","","false"
"12","SKIP","0","EST_FAIL","","0","0","","false"
"13","SKIP","0","EST_FAIL","","0","0","","false"
"14","SKIP","0","EST_FAIL","","0","0","","false"
"15","SKIP","0","EST_FAIL","","0","0","","false"
"16","SKIP","0","EST_FAIL","","0","0","","false"
"17","SKIP","0","EST_FAIL","","0","0","","false"
"18","SKIP","0","EST_FAIL","","0","0","","false"
"19","SKIP","0","EST_FAIL","","0","0","","false"
"20","SKIP","0","EST_FAIL","","0","0","","false"